legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
3a915559d50ebeefaea42960d9cf044e,2022-06-25,2022-08-13,EWR,ATL,HA3OX0MQ,PT2H16M,0,False,False,True,333.96,373.61,9,762.0,1660414200,2022-08-13T14:10:00.000-04:00,1660422360,2022-08-13T16:26:00.000-04:00,ATL,EWR,Delta,DL,Boeing 717,8160,762,coach
9e417bfce665e03ce32f97b35fb8b338,2022-06-22,2022-06-27,BOS,OAK,TNR,PT16H13M,0,False,False,False,226.0,333.58,0,,1656331500||1656384240,2022-06-27T08:05:00.000-04:00||2022-06-27T19:44:00.000-07:00,1656352500||1656389880,2022-06-27T10:55:00.000-07:00||2022-06-27T21:18:00.000-07:00,LAS||OAK,BOS||LAS,Spirit Airlines||Spirit Airlines,NK||NK,||AIRBUS INDUSTRIE A320 SHARKLETS,21000||5640,None||None,coach||coach
aa410ec5ad9f4d51274dd37fb7a67bc4,2022-06-18,2022-08-02,DEN,DTW,HA0OA0MQ,PT7H45M,0,False,False,False,385.12,437.6,9,2106.0,1659454200||1659474300,2022-08-02T09:30:00.000-06:00||2022-08-02T17:05:00.000-04:00,1659468600||1659482100,2022-08-02T15:30:00.000-04:00||2022-08-02T19:15:00.000-04:00,LGA||DTW,DEN||LGA,Delta||Delta,DL||DL,Boeing 737-800||Airbus A320,14400||7800,1621||485,coach||coach
813abf44ba72d5d910e5f292221e9912,2022-04-24,2022-05-18,BOS,LGA,NUAZXNN3,PT3H43M,0,False,False,False,78.14,107.6,7,627.0,1652898600||1652907600,2022-05-18T14:30:00.000-04:00||2022-05-18T17:00:00.000-04:00,1652904540||1652911980,2022-05-18T16:09:00.000-04:00||2022-05-18T18:13:00.000-04:00,DCA||LGA,BOS||DCA,American Airlines||American Airlines,AA||AA,Airbus A319||Airbus A319,5940||4380,406||221,coach||coach
c919a270a0ac8656459aa97fc896179d,2022-06-04,2022-06-24,BOS,JFK,QAUOA0MQ,PT1H31M,0,False,False,True,189.77,218.6,3,185.0,1656100740,2022-06-24T15:59:00.000-04:00,1656106200,2022-06-24T17:30:00.000-04:00,JFK,BOS,Delta,DL,Airbus A220-100,5460,185,coach
c7a1e287291ee4b309639862779f028c,2022-05-11,2022-05-13,ORD,BOS,LAA0PFEN,PT2H20M,0,False,False,True,81.86,102.6,5,862.0,1652468100,2022-05-13T13:55:00.000-05:00,1652476500,2022-05-13T17:15:00.000-04:00,BOS,ORD,United,UA,Boeing 737-900,8400,862,coach
6c5b65339df0c6a560e8c9af2ed782b5,2022-05-18,2022-07-09,IAD,DTW,GUAIZNN1,PT3H58M,0,False,False,False,145.12,178.1,10,832.0,1657358400||1657366320,2022-07-09T05:20:00.000-04:00||2022-07-09T07:32:00.000-04:00,1657363140||1657372680,2022-07-09T06:39:00.000-04:00||2022-07-09T09:18:00.000-04:00,CLT||DTW,IAD||CLT,American Airlines||American Airlines,AA||AA,Boeing 737-800||Boeing 737-800,4740||6360,327||505,coach||coach
11cdf8c36f3880268cbfa6a32ecaf7ea,2022-05-31,2022-06-16,OAK,ORD,GA3NR,PT11H3M,0,False,False,False,124.2,193.78,0,,1655399100||1655425500,2022-06-16T10:05:00.000-07:00||2022-06-16T17:25:00.000-07:00,1655404680||1655438880,2022-06-16T11:38:00.000-07:00||2022-06-16T23:08:00.000-05:00,LAS||ORD,OAK||LAS,Spirit Airlines||Spirit Airlines,NK||NK,AIRBUS INDUSTRIE A321 SHARKLETS||AIRBUS INDUSTRIE A320 SHARKLETS,5580||13380,None||None,coach||coach
0367a2c78d895b38fdae9722ef73c8cc,2022-06-02,2022-06-14,SFO,DFW,VAA7AQEN,PT3H39M,1,False,False,True,249.3,282.6,9,1468.0,1655276340,2022-06-14T23:59:00.000-07:00,1655289480,2022-06-15T05:38:00.000-05:00,DFW,SFO,United,UA,Airbus A319,13140,1468,coach
a56aeb943e7afbe1ca228ee8d0cf4c6a,2022-05-22,2022-06-21,LGA,DEN,VAA3OHEN,PT4H11M,0,False,False,True,273.49,308.6,7,1621.0,1655807400,2022-06-21T06:30:00.000-04:00,1655822460,2022-06-21T08:41:00.000-06:00,DEN,LGA,United,UA,Airbus A319,15060,1621,coach
